pais,fecha_proceso,transporte,ruta,tipo_entrega,material,precio,cantidad,unidad
GT,20250513,67053596,919885,ZPRE,AA004003,3195.540000000000000000,100.000000000000000000,CS
GT,20250513,67053596,919885,ZPRE,BA018426,529.990000000000000000,20.000000000000000000,CS
GT,20250513,67053610,919885,Z04,BA018426,7799.740000000000000000,103.000000000000000000,CS
GT,20250513,67053610,919885,Z04,BA018426,25.250000000000000000,2.000000000000000000,ST
GT,20250513,67053610,919885,Z04,AA004005,1537.500000000000000000,15.000000000000000000,CS
GT,20250513,67053610,919885,Z04,AA004005,29.930000000000000000,7.000000000000000000,ST
GT,20250513,67053638,919885,ZPRE,BA018426,37481.170000000000000000,503.000000000000000000,CS
GT,20250513,67053638,919885,ZPRE,BA018426,62.110000000000000000,5.000000000000000000,ST
PE,20250114,67050264,5428813,ZPRE,BA003708,260.000000000000000000,10.000000000000000000,CS
PE,20250114,67050264,5428813,ZPRE,BA003708,32.500000000000000000,5.000000000000000000,ST
EC,20250217,67051860,4511092,COBR,"",1812.440000000000000000,1.000000000000000000,ST
EC,20250217,67051860,4511092,COBR,BA017072,156.600000000000000000,30.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,BA000210,685.230000000000000000,30.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,BA000215,677.150000000000000000,30.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,BA013085,293.460000000000000000,30.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,BA013081,288.900000000000000000,30.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,AA004001,0E-18,10.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,AA004002,0E-18,10.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,AA004003,0E-18,10.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,AA004012,0E-18,10.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,BA017072,156.600000000000000000,30.000000000000000000,CS
EC,20250217,67051860,4511092,COBR,BA000210,685.230000000000000000,30.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015008,1421.420000000000000000,2.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA015011,1601.600000000000000000,2.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA131113,421.690000000000000000,2.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA875142,416.670000000000000000,1.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA015008,1421.420000000000000000,2.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA015011,1601.600000000000000000,2.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA131113,421.690000000000000000,2.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA875142,416.670000000000000000,1.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA875142,4.500000000000000000,12.000000000000000000,ST
SV,20250325,67052854,2161885,ZPRE,AA875142,90.000000000000000000,10.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015001,49.050000000000000000,5.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA131113,45.000000000000000000,5.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015011,43.200000000000000000,5.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015008,76.500000000000000000,10.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015008,0E-18,10.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015011,0E-18,10.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA131113,0E-18,5.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015001,0E-18,5.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA875142,0E-18,10.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015008,15.300000000000000000,2.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015011,17.280000000000000000,2.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA131113,18.000000000000000000,2.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA875142,18.000000000000000000,2.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA875142,18.000000000000000000,2.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA131113,18.000000000000000000,2.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015011,17.280000000000000000,2.000000000000000000,CS
SV,20250325,67052854,2161885,ZPRE,AA015008,15.300000000000000000,2.000000000000000000,CS
HN,20250314,67052658,2710948,COBR,AA001001,2000.000000000000000000,10.000000000000000000,CS
HN,20250314,67052658,2710948,COBR,AA059001,12600.000000000000000000,50.000000000000000000,CS
